X;Y;Unique Squirrel ID;Hectare;Shift;Date;Hectare Squirrel Number;Age;Primary Fur Color;Highlight Fur Color;Combination of Primary and Highlight Color;Color notes;Location;Above Ground Sighter Measurement;Specific Location;Running;Chasing;Climbing;Eating;Foraging;Other Activities;Kuks;Quaas;Moans;Tail flags;Tail twitches;Approaches;Indifferent;Runs from;Other Interactions;Lat/Long
-739.641.971.813.967;407.813.537.959.435;21G-PM-1007-01;21G;PM;10072018;1;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9641971813967 40.7813537959435)
-739.639.744.005.647;407.825.111.950.764;22F-AM-1007-01;22F;AM;10072018;1;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;TRUE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9639744005647 40.7825111950764)
-739.530.040.923.555;407.922.896.176.936;36I-PM-1007-10;36I;PM;10072018;10;Juvenile;Gray;White;Gray+White;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;stole (found?) an entire sandwich;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9530040923555 40.7922896176936)
-739.792.155.473.689;407.693.711.799.946;3B-PM-1007-11;03B;PM;10072018;11;Adult;Gray;;Gray+;;Above Ground;5;in tree;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9792155473689 40.7693711799946)
-739.581.655.949.437;407.997.708.190.022;41A-PM-1007-06;41A;PM;10072018;6;Adult;Black;;Black+;;Ground Plane;FALSE;;TRUE;FALSE;TRUE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9581655949437 40.7997708190022)
-739.696.433.533.986;407.828.208.083.804;20B-AM-1007-01;20B;AM;10072018;1;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;quietly;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9696433533986 40.7828208083804)
-739.528.682.507.794;407.925.807.808.307;36I-PM-1007-13;36I;PM;10072018;13;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;POINT (-73.9528682507794 40.7925807808307)
-739.638.270.331.336;407.810.450.065.235;21G-PM-1007-02;21G;PM;10072018;2;Adult;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9638270331336 40.7810450065235)
-739.649.632.550.828;407.809.187.761.995;20F-PM-1007-01;20F;PM;10072018;1;Adult;Gray;Cinnamon;Gray+Cinnamon;cinnamon tail;Ground Plane;FALSE;;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;POINT (-73.9649632550828 40.7809187761995)
-739.712.308.864.394;407.714.534.847.379;9G-AM-1007-04;09G;AM;10072018;4;Adult;Gray;White;Gray+White;;Above Ground;15;;FALSE;FALSE;FALSE;FALSE;FALSE;grooming;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9712308864394 40.7714534847379)
