Hectare;Shift;Date;Age;Primary Fur Color;Running;Chasing;Climbing;Eating;Foraging;Kuks;Quaas;Tail flags;Tail twitches;Approaches;Indifferent;Runs from;Hectare Conditions;Number of Squirrels;Weather;Dogs
06A;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;7.0;57.0;1.0
06F;AM;10062018;Juvenile;Cinnamon;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;9.0;72.4;1.0
06I;AM;10062018;Adult;Gray;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;9.0;60.0;0.0
07A;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Busy;4.0;80.0;1.0
07A;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;4.0;80.0;1.0
07A;AM;10062018;Adult;Gray;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;4.0;80.0;1.0
07E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;9.0;57.0;1.0
07E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;9.0;57.0;1.0
07E;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Calm;9.0;57.0;1.0
07E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;9.0;57.0;1.0
07E;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;9.0;57.0;1.0
07E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;9.0;57.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;PM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;7.0;65.0;1.0
07H;PM;10062018;Adult;Gray;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;7.0;65.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;PM;10062018;Adult;Gray;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;7.0;65.0;1.0
07H;PM;10062018;Adult;Black;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;7.0;65.0;1.0
07H;PM;10062018;Adult;Gray;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;;7.0;65.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;PM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;;7.0;65.0;1.0
07H;AM;10062018;Adult;Cinnamon;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;PM;10062018;Adult;Gray;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;7.0;65.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
07H;PM;10062018;Adult;Gray;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;7.0;65.0;1.0
07H;PM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;7.0;65.0;1.0
07H;PM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;7.0;65.0;1.0
07H;AM;10062018;Adult;Cinnamon;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;3.0;68.0;1.0
08I;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;3.0;71.0;1.0
08I;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;71.0;1.0
