Hectare,Shift,Date,Hectare Conditions,Number of Squirrels,Weather,Dogs
12I,AM,10172018,"Calm, Busy",1,52.0,0
12I,PM,10172018,Busy,5,56.8,1
13B,AM,10172018,Calm,5,56.8,0
13B,PM,10172018,Calm,6,61.0,0
13H,PM,10172018,Busy,2,56.8,1
14E,AM,10172018,Busy,1,62.0,1
14G,AM,10172018,Busy,1,56.8,1
15A,PM,10172018,Calm,11,55.0,0
15C,PM,10172018,Busy,4,62.0,1
15E,AM,10172018,Busy,1,62.0,1
15G,PM,10172018,Calm,0,57.0,0
15I,AM,10172018,Calm,1,63.0,1
16C,AM,10172018,Calm,3,50.0,1
16H,AM,10172018,Calm,7,63.0,1
16I,PM,10172018,Busy,3,62.0,1
17A,PM,10172018,Busy,0,63.0,0
17B,AM,10172018,Busy,0,51.0,1
17B,PM,10172018,Calm,1,63.0,1
18A,PM,10172018,Busy,0,51.0,1
18B,AM,10172018,Busy,5,77.0,0
18D,AM,10172018,Calm,3,56.8,1
18F,PM,10172018,Busy,2,50.0,1
18H,PM,10172018,Busy,3,75.0,1
20G,AM,10172018,,0,62.0,0
21B,PM,10172018,Busy,0,62.0,1
22G,AM,10172018,Busy,0,51.0,0
23D,PM,10172018,Busy,2,51.0,1
23I,PM,10172018,Busy,4,62.0,1
24A,PM,10172018,Busy,3,51.0,1
24B,AM,10172018,Calm,1,49.0,1
26I,AM,10172018,Busy,4,50.0,1
27B,PM,10172018,Busy,16,61.0,1
29A,PM,10172018,Calm,9,51.0,0
32D,PM,10172018,Calm,5,50.0,1
32G,AM,10172018,Calm,8,50.0,1
34A,PM,10172018,Calm,6,50.0,1
34I,PM,10172018,Busy,4,50.0,1
35H,AM,10172018,Calm,7,50.0,0
36C,AM,10172018,Calm,2,52.0,1
36F,AM,10172018,Calm,7,50.0,1
37A,PM,10172018,Calm,0,51.0,1
37B,PM,10172018,Busy,1,63.0,1
42A,PM,10172018,,3,63.0,0
42D,PM,10172018,,4,62.0,0
03E,AM,10182018,Busy,5,48.0,1
04E,PM,10182018,Moderate,7,48.0,1
06F,PM,10182018,Busy,7,52.0,0
08D,AM,10182018,Busy,9,52.0,1
08F,PM,10182018,Calm,4,43.0,1
09E,PM,10182018,Calm,1,53.0,0
10B,PM,10182018,Busy,1,50.0,1
10F,AM,10182018,Busy,6,53.0,1
11C,PM,10182018,Busy,14,55.0,1
12H,AM,10182018,Calm,6,40.0,1
13I,PM,10182018,Busy,3,51.0,0
14C,AM,10182018,Busy,10,48.0,0
